aid,label
40000044,0
40000061,0
40000070,0
40000092,0
40000164,0
40000166,0
40000202,0
40000235,0
40000339,0
40000396,0
40000409,0
40000472,0
40000522,0
40000568,0
40000569,1
40000611,0
40000682,0
40000693,1
40000726,0
40000817,0
40000969,0
40001130,1
40001291,0
40001365,1
40001439,0
40001790,0
40001882,0
40002015,0
40002293,0
40002349,0
40002385,0
40002406,0
40002465,0
40002485,0
40002526,1
40002534,1
40002552,0
40002711,0
40002721,1
40002742,0
40002751,0
40002778,1
40002786,0
40003050,0
40003105,0
40003205,0
40003427,0
40003454,1
40003485,0
40003532,1
40003584,0
40003627,0
40003708,0
40003836,0
40003851,0
40004182,0
40004335,1
40004360,0
40004534,1
40004612,0
40004625,0
40004654,0
40004844,0
40004949,0
40004959,1
40005086,0
40005189,0
40005237,0
40005243,0
40005331,0
40005359,0
40005648,0
40005943,0
40005977,1
40006066,0
40006092,0
40006226,0
40006375,0
40006441,1
40006519,0
40006631,0
40006664,1
40006753,0
40006836,0
40006842,0
40006875,0
40006904,1
40006924,0
40007047,0
40007097,1
40007101,0
40007108,0
40007179,0
40007254,0
40007403,0
40007415,0
40007451,0
40007467,0
40007480,0
40007513,0
40007586,0
40007632,0
40007744,0
40007835,0
40008104,0
40008212,0
40008219,0
40008367,0
40008535,0
40008549,0
40008620,1
40008698,0
40008717,0
40008748,0
40008749,0
40008925,0
40008945,1
40008964,0
40008970,1
40009083,0
40009111,1
40009197,0
40009200,0
40009295,0
40009310,0
40009525,0
40009645,0
40009759,0
40009772,0
40010162,0
40010499,0
40010527,0
40010594,0
40010634,0
40010655,0
40010832,0
40011101,0
40011251,1
40011279,0
40011425,1
40011461,1
40011558,0
40011564,0
40011789,0
40011828,0
40011849,0
40012003,0
40012061,0
40012220,0
40012361,0
40012537,1
40012599,0
40012739,1
40012891,0
40013013,1
40013041,1
40013073,0
40013259,0
40013282,0
40013383,1
40013419,1
40013546,0
40013602,1
40013627,0
40013632,0
40013638,0
40013754,0
40013838,0
40013942,1
40014083,0
40014117,0
40014286,0
40014519,1
40014606,1
40014607,0
40014744,0
40014969,0
40015004,0
40015063,0
40015123,1
40015244,0
40015256,0
40015390,0
40015426,0
40015664,0
40015693,1
40015705,0
40015722,0
40016063,0
40016096,0
40016123,1
40016319,0
40016327,0
40016454,0
40016490,0
40016624,0
40016662,0
40016863,0
40016973,0
40016990,0
40017092,1
40017098,1
40017230,0
40017255,0
40017300,1
40017475,1
40017632,0
40017802,1
40017937,0
40018222,0
40018304,0
40018422,0
40018433,0
40018442,1
40018651,0
40018689,0
40018723,0
40018797,1
40018877,0
40018889,0
40018930,1
40018981,0
40019040,0
40019050,0
40019086,0
40019105,0
40019132,1
40019372,0
40019393,0
40019446,1
40019464,0
40019580,0
40019711,0
40019821,0
40019917,0
40019931,1
40019967,0
40020074,0
40020167,0
40020195,1
40020220,0
40020247,0
40020254,0
40020255,0
40020784,0
40021015,0
40021028,1
40021423,1
40021456,0
40021495,0
40021623,0
40021691,1
40021718,0
40021787,0
40021857,0
40022065,0
40022248,0
40022352,0
40022484,0
40022626,0
40022633,0
40022699,1
40022808,0
40022824,0
40022989,1
40023003,1
40023047,0
40023220,0
40023536,0
40023571,0
40023875,0
40023913,0
40024063,0
40024169,0
40024257,0
40024566,0
40024661,0
40024729,0
40024759,0
40024807,0
40024899,0
40024956,0
40025278,0
40025443,1
40025589,0
40025907,0
40025922,0
40025965,0
40025974,0
40026104,0
40026105,1
40026413,0
40026682,1
40026863,0
40026875,1
40026981,0
40027158,0
40027558,0
40027680,1
40027688,0
40027743,1
40027762,0
40027803,0
40027923,0
40027992,1
40028231,0
